# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
39              	smoothSolver	3.54934690e-01	2.33836980e-01	1000	2.04710500e-01	4.74149030e-04	1	false	smoothSolver	7.03283930e-02	4.60975180e-03	1	true	smoothSolver	7.03240220e-02	4.61029540e-03	1	true	GAMG	4.38654530e-01	2.08053600e-03	4	true
40              	smoothSolver	3.57266320e-01	2.43423990e-01	1000	2.09722710e-01	4.86240010e-04	1	false	smoothSolver	6.69204530e-02	4.38608470e-03	1	true	smoothSolver	6.69162280e-02	4.38659790e-03	1	true	GAMG	5.76706480e-01	4.04476050e-03	3	true
41              	smoothSolver	3.56368610e-01	2.38770460e-01	1000	2.13446470e-01	4.97534700e-04	1	false	smoothSolver	6.37640500e-02	4.17956320e-03	1	true	smoothSolver	6.37600800e-02	4.18005730e-03	1	true	GAMG	5.53137220e-01	4.30571740e-03	3	true
42              	smoothSolver	3.55127080e-01	2.32008440e-01	1000	2.10686240e-01	4.86486140e-04	1	false	smoothSolver	6.08057310e-02	3.98549620e-03	1	true	smoothSolver	6.08018250e-02	3.98595850e-03	1	true	GAMG	5.71000400e-01	3.50879390e-03	3	true
43              	smoothSolver	3.52580510e-01	2.40891310e-01	1000	2.02403190e-01	4.60403540e-04	1	false	smoothSolver	5.80403470e-02	3.80439080e-03	1	true	smoothSolver	5.80366720e-02	3.80483670e-03	1	true	GAMG	5.66038480e-01	5.59806030e-03	3	true
44              	smoothSolver	3.55141950e-01	2.39041680e-01	1000	1.98557040e-01	4.46896150e-04	1	false	smoothSolver	5.54691850e-02	3.63585860e-03	1	true	smoothSolver	5.54656580e-02	3.63628200e-03	1	true	GAMG	4.62426380e-01	4.53381340e-03	3	true
45              	smoothSolver	3.56834280e-01	2.36304970e-01	1000	1.98298040e-01	4.47404700e-04	1	false	smoothSolver	5.30358180e-02	3.47639520e-03	1	true	smoothSolver	5.30323970e-02	3.47679900e-03	1	true	GAMG	3.91002970e-01	1.20718820e-03	4	true
46              	smoothSolver	3.57633640e-01	2.43448170e-01	1000	1.99505330e-01	4.53338170e-04	1	false	smoothSolver	5.07753660e-02	3.32843870e-03	1	true	smoothSolver	5.07721580e-02	3.32882760e-03	1	true	GAMG	4.29057900e-01	4.20436440e-03	4	true
47              	smoothSolver	3.52363700e-01	2.35676550e-01	1000	2.04286590e-01	4.65154800e-04	1	false	smoothSolver	4.86389910e-02	3.18819580e-03	1	true	smoothSolver	4.86358020e-02	3.18856130e-03	1	true	GAMG	5.57446380e-01	5.45425080e-03	3	true
48              	smoothSolver	3.51634020e-01	2.30768320e-01	1000	2.03534530e-01	4.64416630e-04	1	false	smoothSolver	4.66290640e-02	3.05681920e-03	1	true	smoothSolver	4.66260510e-02	3.05717320e-03	1	true	GAMG	4.64325250e-01	2.57325880e-03	3	true
49              	smoothSolver	3.51549850e-01	2.39841220e-01	1000	2.07446150e-01	4.73573530e-04	1	false	smoothSolver	4.47537750e-02	2.93364690e-03	1	true	smoothSolver	4.47508670e-02	2.93398490e-03	1	true	GAMG	4.91279140e-01	3.08179790e-03	4	true
50              	smoothSolver	3.51715550e-01	2.39230640e-01	1000	2.10126760e-01	4.76933170e-04	1	false	smoothSolver	4.29618380e-02	2.81644220e-03	1	true	smoothSolver	4.29590160e-02	2.81676560e-03	1	true	GAMG	4.18280120e-01	3.28665080e-03	3	true
51              	smoothSolver	3.44344760e-01	2.36917640e-01	1000	2.15179020e-01	4.90289230e-04	1	false	smoothSolver	4.12910240e-02	2.70682650e-03	1	true	smoothSolver	4.12883600e-02	2.70713920e-03	1	true	GAMG	4.25913730e-01	4.19124220e-03	3	true
